Day,Date,Unit,Lesson,Enduring Understanding,Essential Question (Aim),"Learning Objectives (SMART, Quantifiable)",Agenda & Pacing (90 min),Teacher Materials,Student Materials,Links,Formative Assessment (CFU),Summative Assessment,Differentiation,Scaffolding,Standards
1,9/4/2025,Orientation,"Course intro, norms, accounts setup",Success in CS comes from practice & collaboration,How do we set up for success in CS?,(1) Set up accounts; (2) submit first login screenshot,"20m icebreaker, 20m syllabus overview, 20m accounts setup, 20m device check, 10m reflection","Slides, syllabus","Notebook, device",projectstem.org,Exit ticket,First login screenshot,Peer support,Printed instructions,"CSTA 2-AP-1, CS4All AP1, CDOS 1, ISTE 1"
2,9/5/2025,Python Basics,Print statements,Code produces visible results,How does Python display output?,(1) Write 5 working print()statements,"25m demo, 20m guided practice, 15m CFU, 30m lab","Slides, examples","Notebook, device",py3.codeskulptor.org,Quick CFU quiz,Lab rubric,Extra prompts,Sentence frames,"CSTA 2-AP-1, CS4All AP1, CDOS 1, ISTE 2"
3,9/8/2025,Python Basics,"Variables, assignment",Variables store information,How do we store values?,(1) Define 5 variables; (2) reassign correctly,"30m instruction, 20m practice, 15m CFU quiz, 25m lab",Slides,Device,projectstem.org,Mini quiz,Lab rubric,Color-coding,Anchor charts,"CSTA 2-AP-1, CS4All AP1, CDOS 1, ISTE 3"
4,9/9/2025,Python Basics,Input statements,Programs interact with users,How do we get user input?,(1) Collect 2 inputs; (2) display them with print,"30m lesson, 20m guided practice, 15m CFU quiz, 25m lab",Slides,Device,py3.codeskulptor.org,Quiz,Lab rubric,Choice prompts,Example script,"CSTA 2-AP-1, CS4All AP1, CDOS 1, ISTE 4"
5,9/10/2025,Python Basics,Arithmetic operators,Operators compute values,How do we calculate in Python?,(1) Solve 10 arithmetic tasks; (2) CFU 80% correct,"35m lesson, 20m guided practice, 15m CFU quiz, 20m lab",Slides,Device,IDE,Quiz,Lab rubric,Scaffold worksheets,Worked examples,"CSTA 2-AP-1, CS4All AP1, CDOS 1, ISTE 5"
6,9/11/2025,Python Basics,"Built-in functions (round, abs, pow)",Functions extend language power,How can we use built-ins to solve problems?,(1) Use 3 built-ins in code; (2) CFU 4/5 correct,"30m demo, 20m practice, 15m CFU quiz, 25m lab",Slides,Device,IDE,Quiz,Lab rubric,Tiered examples,Function chart,"CSTA 2-AP-1, CS4All AP1, CDOS 1, ISTE 6"
7,9/12/2025,Debugging I,Common syntax errors,Debugging builds resilience,How do we find & fix errors?,(1) Diagnose 6 syntax errors; (2) fix ≥80%,"30m demo, 20m error hunt, 15m CFU, 25m lab",Error hunt slides,Device,IDE,Error hunt,Debugging log,Extra hints,Error reference,"CSTA 2-AP-17, 2-AP-19, 2-AP-20"
8,9/15/2025,Algorithms I,Problem-solving & pseudocode,Algorithms describe solutions,Why plan before coding?,(1) Write 2 pseudocode solutions; (2) trace correctly,"30m lesson, 20m practice, 15m CFU, 25m lab",Pseudocode slides,Device,Notebook,Exit slip,Pseudocode task,Peer modeling,Templates,"CSTA 2-AP-17, 2-AP-19"
9,9/16/2025,Algorithms II,Flowcharts,Visual models clarify processes,How do diagrams help programmers?,(1) Create flowchart for algorithm; (2) explain choices,"25m demo, 20m practice, 15m CFU, 30m lab",Flowchart slides,Device,Lucidchart,Exit slip,Flowchart rubric,Choice tasks,Symbols chart,"CSTA 2-AP-17, 2-AP-20"
10,9/17/2025,Debugging II,Logic errors,Debugging improves programs,How do we fix incorrect logic?,(1) Correct 5 faulty programs,"30m demo, 20m bug hunt, 15m CFU quiz, 25m lab",Debugging slides,Device,IDE,Bug hunt,Debugging log,Peer pairs,Debug hints,"CSTA 2-AP-17, 2-AP-21"
11,9/18/2025,Algorithms & Tracing,Tracing code,Careful tracing reveals program behavior,How can tracing help us catch bugs before we run?,(1) Accurately predict outputs for 6 snippets,"30m lesson, 15m CFU drill, 45m lab",Tracing slides,"Notebook, device",IDE,Exit slip,Lab rubric,Highlighting,Execution-flow chart,"CSTA 2-AP-17, 2-AP-19"
12,9/19/2025,Python Basics,Comparisons & booleans,Logic enables decisions,How do booleans drive decisions?,(1) Write 8 comparisons; (2) evaluate 6 booleans,"35m lesson, 15m CFU quiz, 40m lab",Slides,Device,IDE,Quiz,Lab rubric,Tiered tasks,Truth tables,"CSTA 2-AP-17, 2-AP-20"
13,9/22/2025,Conditionals I,if statements,Decisions drive program flow,When should a program branch?,(1) Write 4 if statements,"40m demo, 15m CFU, 35m lab",Slides,Device,IDE,CFU cards,Lab rubric,Extra scenarios,Flowchart,"CSTA 2-AP-17, 2-AP-21"
14,9/25/2025,Conditionals II,else / elif,Branching handles complexity,How do we handle multiple paths?,(1) Write 3 multi-branch conditionals,"35m lesson, 15m CFU, 40m lab",Slides,Device,IDE,Quiz,Lab rubric,Challenge tasks,Examples,"CSTA 2-AP-17, 2-AP-22"
15,9/26/2025,EarSketch I,"DAW setup, fitMedia",Tools expand creative expression,How can code build music?,(1) Build 8-bar track with 2 clips,"20m demo, 15m CFU, 55m lab",Slides,Headphones,EarSketch,Checklist,Track rubric,Genre choice,Templates,"CSTA 2-AP-12, ISTE 4"
16,9/29/2025,Loops I,While loops,Repetition automates processes,How can computers repeat tasks?,(1) Write 3 while-loops,"40m lesson, 15m CFU, 35m lab",Slides,Device,IDE,Worksheet,Lab rubric,Extra challenges,Flowcharts,CSTA 2-AP-1
17,9/30/2025,Loops II,For loops,Loops simplify repetition,When is forbetter than while?,(1) Build 4 for loops,"45m demo, 15m quiz, 30m lab",Slides,Device,IDE,Quiz,Lab rubric,Parsons problems,Range chart,CSTA 2-AP-2
18,10/1/2025,Loops III,Nested loops,Nested repetition builds structure,How do loops combine?,(1) Use nested loops to print grids,"35m demo, 20m practice, 35m lab",Slides,Device,IDE,Spot check,Lab rubric,ASCII vs emoji,Trace table,CSTA 2-AP-3
