Day,Date,Unit,Lesson,Enduring Understanding,Essential Question (Aim),Learning Objectives (SMART),Agenda & Pacing (90 min),Teacher Materials,Student Materials,Links,Formative Assessment,Summative Assessment,Differentiation,Scaffolding,Standards
1,Sept 4,Intro to Game Dev,Course Overview & Unity Setup,"Game development blends creativity, problem solving, and technology.","What skills will I gain this year, and how will Unity support my learning?","Students will install Unity Hub, set up the editor, and navigate the workspace.","45m intro lecture, 15m quiz (setup check), 30m Unity install + exploration","Slides, Unity Hub guide","Unity Hub, laptops",unity.com/download,Setup check quiz,Participation in Unity install,Provide install troubleshooting guide,Peer pairing for install,"CSTA 2-AP-1, CS4All AP1, ISTE 1, ISTE 5, CDOS 3a"
2,Sept 5,Intro to Game Dev,Unity Basics: Interface & Scene View,Unity uses a component-based model for game development.,How do I navigate and customize Unity’s editor?,"Students will identify key panels (Scene, Game, Hierarchy, Inspector, Project).","45m demo, 15m quiz, 30m guided practice (replicate scene)",Demo project,Unity project file,learn.unity.com,Short quiz on panels,Replicate #1 scene setup,Visual icons + vocabulary list,Teacher models step-by-step,"CSTA 2-AP-1, CS4All AP1, ISTE 5"
3,Sept 8,Intro to Game Dev,Replicate #1,Practice builds mastery through repetition.,How can I recreate an existing Unity scene?,Students will follow instructions to replicate a Unity sample project.,"45m demo, 15m check quiz, 30m replicate",Teacher Unity file,Student Unity workspace,unity.com/learn,Quiz on component roles,Completed replicate project,Chunk steps by difficulty,Peer partner system,"CSTA 2-AP-2, ISTE 1, CDOS 3a"
4,Sept 9,Intro to Game Dev,Modify #1,Iteration fosters creativity.,How can I modify a Unity scene to make it unique?,"Students will alter objects, transforms, and lighting.","45m instruction, 15m CFU, 30m modify project",Modify rubric,Unity file,unity.com/learn,Peer check,Modified project,Extra challenges for advanced,Scaffold with example,"CSTA 2-AP-3, ISTE 4, CS4All AP1"
5,Sept 10,Intro to Game Dev,Project: 3D Clock,Projects consolidate learning into artifacts.,How can I apply Unity basics to design a working 3D clock?,Students will build a Unity clock project with transforms and rotations.,"45m instruction, 15m quiz, 30m lab",Clock tutorial,Unity project,unity.com/tutorials,Quiz on rotations,Clock project submission,Advanced add-ons (textures),Guided step cards,"CSTA 2-AP-3, Math.P"
6,Sept 11,Intro to Game Dev,Quiz: Unity Basics,Assessment checks for mastery of concepts.,What have I learned about Unity basics?,Students will demonstrate Unity workspace knowledge.,"45m review, 15m quiz, 30m corrections",Review slides,Review sheet,Kahoot.com,Unity basics quiz,Quiz grade,Multiple review modes,Study guide provided,CSTA Review/Assess
7,Sept 12,Game Design Principles,Intro to Game Design,Design decisions shape player experience.,What makes a game engaging?,Students will analyze key elements of successful games.,"45m lecture, 15m CFU, 30m analysis activity",Game design slides,Game analysis worksheet,gdcvault.com,Exit ticket,Game analysis assignment,Accessible examples,Scaffolded analysis Qs,"CSTA 2-AP-17, ISTE 4, NGLS ELA.W"
8,Sept 15,Game Design Principles,Design Thinking Process,Human-centered design drives innovation.,How do designers empathize with players?,Students will complete empathy map + persona.,"45m instruction, 15m CFU, 30m group work",Design thinking guide,Persona template,designkit.org,Group feedback,Empathy map submission,Team-based grouping,Sentence starters,"ISTE 4, CDOS 2, 3a"
9,Sept 16,Game Design Principles,Game Mechanics,Mechanics create structure and challenge.,How do mechanics shape gameplay?,Students will define + apply 3 mechanics in a sample design.,"45m lecture, 15m quiz, 30m lab (design doc)",Mechanics slides,Worksheet,gamedesign.org,Quiz,Design doc submission,More advanced examples,Provide scaffolding templates,"CSTA 2-AP-17, ISTE 5"
10,Sept 17,Game Design Principles,Storytelling in Games,Narrative builds immersion.,How does storytelling deepen engagement?,Students will storyboard a simple narrative game concept.,"45m demo, 15m quiz, 30m storyboard",Story slides,Storyboard template,gdcvault.com,Peer check,Storyboard submission,Sentence starters,Example stories,"ISTE 4, NGLS ELA.W"
