Day,Date,Unit,Lesson,Enduring Understanding,Essential Question (Aim),"Learning Objectives (SMART, quantifiable)",Agenda & Pacing (90 min),Teacher Materials,Student Materials,Links,Formative Assessment,Summative Assessment,Differentiation,Scaffolding,Standards
1,Feb 1,Intro to 3D Unity,Unity Setup & Navigation,Tools shape design.,How do I navigate Unity’s 3D workspace?,Students will set up Unity Hub and create a 3D project.,"45m demo, 15m quiz, 30m lab","Slides, Unity install guide","Unity Hub, 3D template",unity.com,Quiz,3D scene setup,Advanced shortcuts,Guided setup,"CSTA 2-AP-1, CS4All AP1, ISTE 1"
2,Feb 2,Unity Basics,GameObjects & Transforms,Objects define worlds.,"How do I move, scale, and rotate objects?",Students will manipulate 3D primitives.,"45m lecture, 15m quiz, 30m lab",Demo project,Unity project,docs.unity3d.com,Quiz,Object manipulation lab,Extensions with complex models,Step-by-step sheet,"CSTA 2-AP-2, IT1"
3,Feb 3,Unity Basics,Components & Prefabs,Reusability speeds dev.,How do prefabs save time?,Students will create prefabs for reuse.,"45m demo, 15m quiz, 30m lab",Prefab guide,Unity project,unity prefab docs,Quiz,Prefab project,Advanced prefab variants,Scaffold prefab basics,"CSTA 2-AP-3, ISTE 5"
4,Feb 4,Unity Basics,Materials & Lighting,Visuals shape immersion.,How do I apply lighting and materials?,Students will add color and light to a scene.,"45m demo, 15m quiz, 30m lab",Lighting guide,Unity scene,unity lighting docs,Quiz,Scene aesthetics,Advanced lighting setups,Scaffold material basics,"CS4All AP3, Math.P"
5,Feb 5,Project Work,Replicate #1,Practice builds mastery.,How do I replicate a sample game scene?,Students will replicate a Unity sample scene.,"45m demo, 15m quiz, 30m replicate",Sample file,Unity,sample link,Peer check,Replicate project,Extension mechanics,Scaffold build order,"ISTE 5, CDOS 3a"
6,Feb 6,Project Work,Modify #1,Modification teaches design.,How do I modify a sample scene to make it mine?,Students will edit assets & components.,"45m design lecture, 15m quiz, 30m modify",Modify rubric,Unity scene,n/a,Quiz,Modified scene,Extra mechanics,Scaffold changes,"ISTE 4, CSTA 2-AP-17"
7,Feb 9,Project,3D Clock Project Pt 1,Time is logic.,How do I code a working clock?,Students will script a simple 3D clock.,"45m C# demo, 15m quiz, 30m lab",Code sample,Unity C# script,docs.microsoft.com,Quiz,Clock script (pt1),Advanced clock functions,Scaffold starter code,"CSTA 2-AP-10, IT1"
8,Feb 10,Project,3D Clock Project Pt 2,Visuals + logic = gameplay.,How do I sync visuals to code?,Students will polish their 3D clock.,"45m polish, 15m quiz, 30m lab",Debug guide,Unity clock,n/a,Peer review,Final clock project,Extra VFX,Scaffold sync steps,"ISTE 5, CDOS 3a"
9,Feb 11,Quiz & Reflection,Unity Basics Quiz,Mastery requires recall.,What did I learn in Unity basics?,Students will complete quiz on Unity basics.,"30m quiz, 60m project work",Quiz doc,Unity project,n/a,Quiz,Quiz grade,Extra challenge,Scaffold review,CSTA Review/Assess
10,Feb 12,Game Design,Intro to Game Design,Games communicate meaning.,What makes a game engaging?,Students will analyze 3 games for mechanics.,"45m lecture, 15m quiz, 30m analysis",Game analysis guide,Chosen games,g4c.org,Quiz,Game analysis writeup,Extra analysis,Scaffold prompts,"CSTA 2-AP-17, ELA.W"
11,Feb 13,Game Design,Storytelling in Games,Stories deepen play.,How do narratives enhance gameplay?,Students will create a 1-page story draft.,"45m lecture, 15m quiz, 30m writing",Story rubric,Notebook,n/a,Quiz,Story draft,Extension storylines,Scaffold starters,"ISTE 4, ELA.W"
12,Feb 23,Game Design,Player Engagement,Players drive design.,What keeps players engaged?,Students will design player personas.,"45m demo, 15m quiz, 30m lab",Persona guide,Persona sheet,n/a,Peer review,Persona submission,Extra personas,Scaffold templates,"ISTE 6, CDOS 2"
13,Feb 24,Project Work,Replicate #2,Practice builds mastery.,How do I replicate a second Unity sample?,Students will replicate Unity demo scene.,"45m demo, 15m quiz, 30m replicate",Sample file,Unity,n/a,Peer check,Replicate project,Extra mechanics,Scaffold build,"ISTE 5, CDOS 3a"
14,Feb 25,Project Work,Modify #2,Modification = ownership.,How do I personalize a Unity scene?,Students will alter Unity demo for new play.,"45m design lecture, 15m quiz, 30m modify",Modify rubric,Unity project,n/a,Quiz,Modified project,Extra features,Scaffold basics,"ISTE 4, AP2"
15,Feb 26,Assignment,Game Pitch Doc,Pitches refine vision.,How do I pitch my game idea?,Students will create a 1-page pitch doc.,"45m writing, 15m quiz, 30m peer share",Pitch rubric,Template,g4c.org,Quiz,Pitch doc,Extra market research,Scaffold template,"ISTE 4, ELA.W"
16,Feb 27,Assignment,Game Analysis Presentations,Feedback grows ideas.,How do I present my analysis clearly?,Students will present analyses in teams.,"45m prep, 15m quiz, 30m present",Presentation rubric,Slide deck,n/a,Peer feedback,Presentation grade,Extra research,Scaffold slides,"ISTE 6, CDOS 3a"
17,Mar 2,C# Basics,Intro to C# Scripting,Code = interactivity.,How do I write my first Unity script?,Students will write a basic script in C#.,"45m demo, 15m quiz, 30m script lab",Script guide,Unity C# editor,docs.microsoft.com,Quiz,Script submission,Extensions,Scaffold sample code,"CSTA 2-AP-10, IT1"
18,Mar 3,C# Basics,Variables & Operators,Data = rules.,How do I use variables to store player state?,Students will code variables in C#.,"45m demo, 15m quiz, 30m lab",Code samples,Unity project,n/a,Quiz,Variable script,Extensions,Scaffold code hints,"AP2, ISTE 5"
19,Mar 4,C# Basics,Conditionals & Loops,Logic drives play.,How do conditionals change gameplay?,Students will code if-else + loops.,"45m demo, 15m quiz, 30m lab",Script guide,Unity editor,n/a,Quiz,Loop/conditional script,Advanced nested loops,Scaffold code banks,"2-AP-11, AP2"
