Day,Date,Unit,Lesson,Enduring Understanding,Essential Question (Aim),"Learning Objectives (SMART, Quantifiable)",Agenda & Pacing (90 min),Teacher Materials,Student Materials,Links,Formative Assessment,Summative Assessment,Differentiation,Scaffolding,Standards
1,2/2/2025,Unity Foundations,Intro to Unity & C#,Computing systems and languages are tools for creative problem solving.,How can we use Unity and C# to create interactive experiences?,"Students will open Unity, navigate the editor, and write their first C# script to move a player object.",45m: Unity tour & setup; 15m quiz on editor UI; 30m lab: player moves with arrow keys,"Unity Hub setup guide, slides",Laptop with Unity installed,Unity docs: https://docs.unity3d.com,Quick CFU quiz on Unity editor parts,Completed scene with player movement,Step-by-step demo; peer tutoring,Provide starter Unity project with basic objects,"CSTA 2-AP-1, 2-AP-10; CS4All AP1; CDOS 1, 3a; ISTE 1, 5; CCTC IT1, IT2"
2,2/3/2025,Unity Foundations,Player Movement II,Algorithms structure player control and game interaction.,What algorithm governs character movement in games?,Students will code and test movement logic with acceleration and smooth input handling.,45m instruction on Update vs FixedUpdate; 15m CFU code trace; 30m lab movement polish,"Slides, code samples",Unity project from Day 1,Unity Scripting API,Debugging quiz: predict code outcome,Working smooth player controller,Pair programming for varied learners,Provide pseudocode before coding,"CSTA 2-AP-1, 2-AP-17; ISTE 5; CS4All AP1; CDOS 1"
3,2/4/2025,Shooter Project,Shooting Mechanics I,Abstraction allows reuse of code in different contexts.,How do we represent shooting mechanics algorithmically?,"Students will code projectile prefab, instantiate bullets, and test collisions.",45m: Prefabs & Instantiate; 15m quiz on object instantiation; 30m lab build shooting,"Prefab setup slides, example script","Unity editor, prefab assets",Unity docs Prefabs,CFU: explain prefab process,Functional bullet firing,Scaffold by providing partial script,Chunk task into prefab + script,"CSTA 2-AP-10, 2-AP-11; CS4All AP2; ISTE 5"
4,2/5/2025,Shooter Project,Shooting Mechanics II,Iteration refines mechanics for playability.,How do we refine shooting mechanics for balance?,"Students will add fire rate, limit bullets, and adjust physics forces.",45m mini-lesson fire rate logic; 15m CFU quiz; 30m lab polish mechanics,Code samples,Unity shooter scene,Unity scripting docs,Debugging check,Polished firing system with rate control,Give advanced students optional effects,Provide flowchart for beginners,"CSTA 2-AP-17, 2-AP-19; ISTE 5"
5,2/6/2025,Shooter Project,Enemy Spawning I,Randomness creates unpredictability in games.,How do we algorithmically control enemy spawning?,Students will write a coroutine to spawn enemies at intervals with randomness.,45m lesson on coroutines & RNG; 15m CFU quiz; 30m lab implement spawner,"Example scripts, slides",Unity prefab enemies,Unity coroutine docs,Code trace check,Spawning system functional,Extra challenge: difficulty scaling,Provide RNG visualizer example,"CSTA 2-AP-14, 2-DA-05; NGLS Math.P"
6,2/9/2025,Shooter Project,Enemy Spawning II,Algorithms can balance randomness with fairness.,How do we prevent overwhelming the player while using randomness?,Students will implement spawn caps and difficulty progression.,45m instruction difficulty ramping; 15m quiz; 30m lab spawn balancing,"Slides, sample scripts",Unity project,RNG references,Debugging spawn values,Balanced spawn system,Challenge: adjustable spawn curve,Provide starting template,"CSTA 2-AP-14, 2-AP-17; ISTE 5"
7,2/10/2025,Shooter Project,Score & Health I,Data can represent state and progress in games.,How do we represent score and player health digitally?,"Students will implement integer variables to track score and health, display UI text.",45m lesson Unity UI text; 15m quiz on variables; 30m lab scoring system,Sample UI prefab,Unity UI text prefab,Unity UI docs,Exit ticket: define score var,Score & health UI works,Advanced: multipliers,Scaffold: starter prefab UI,"CSTA 2-AP-1, 2-AP-2; CS4All DA1; ISTE 5; NGLS Math.S"
8,2/11/2025,Shooter Project,Score & Health II,Feedback helps players make decisions.,How can we use UI to give players meaningful feedback?,"Students will add visual feedback: damage animation, score increments.",45m lesson animation triggers; 15m quiz; 30m lab add damage feedback,Animator demo,"Unity Animator, UI",Unity Animator docs,CFU: identify animator states,Animated feedback system,Stretch: add sound,Provide pre-made animation clip,"CSTA 2-AP-12, 2-AP-13; ISTE 6"
9,2/12/2025,Shooter Project,Shooter Polish,Iteration improves player experience.,How can we improve usability and fairness in a shooter?,"Students will debug and refine shooter, test difficulty and feedback.",30m debugging strategies; 15m quiz; 45m lab refine game,Debugging slides,Unity project,Unity profiler docs,Peer debug worksheet,Shooter milestone build,Peer pairs to test fairness,Scaffold debugging checklist,"CSTA 2-AP-19, 2-AP-20"
10,2/13/2025,Shooter Project,Showcase & Reflection,Reflection consolidates learning.,How do we communicate our design process?,"Students will present shooter builds and write reflection on algorithms, randomness, and data.",45m project showcase; 15m peer feedback; 30m written reflection,Showcase rubric,Unity shooter build,N/A,Peer feedback forms,Shooter project portfolio entry,Advanced: stretch goals doc,Provide reflection sentence starters,"ISTE 1, 4; CDOS 3a"
11,2/17/2025,Platformer Project,Intro to Platformer Physics,Simulations model physical systems.,How does Unity simulate gravity and collisions?,Students will configure Rigidbody2D & colliders for player character.,45m instruction Unity physics; 15m quiz; 30m lab character jump,Physics slides,Unity 2D assets,Unity Physics docs,Quick code CFU,Jump mechanic works,Extension: wall jumps,Scaffold by giving collider prefab,"CSTA 2-DA-05, 2-AP-10; NGLS Math.P"
12,2/18/2025,Platformer Project,Jump & Movement,Algorithms determine character feel.,What makes a platformer jump feel “right”?,Students will code movement forces and tweak variables for smooth control.,45m coding lesson; 15m CFU; 30m lab jump tuning,Code examples,Unity scripts,Unity docs Rigidbody2D,Debugging worksheet,Playable movement,Challenge: coyote time jump,Scaffold with starter script,"CSTA 2-AP-17, 2-AP-11; ISTE 5"
13,2/19/2025,Platformer Project,Collisions & Hazards,Conditionals govern interactions.,How do we implement hazards that respond to collision?,Students will add spike hazards with OnCollision2D logic.,45m conditionals lesson; 15m quiz; 30m lab hazard setup,Code samples,Unity hazard prefab,Unity scripting API,CFU: trace collision logic,Hazard system works,Advanced: lava with damage over time,Scaffold: flowchart of collisions,"CSTA 2-AP-3, 2-AP-10"
14,2/20/2025,Platformer Project,Checkpoints,State persistence enhances gameplay.,How do we save progress within a level?,Students will implement checkpoint system with respawn locations.,45m state lesson; 15m CFU; 30m lab checkpoint system,Code example,Unity prefab checkpoint,Unity API,CFU code trace,Checkpoint working,Extension: multiple respawn,Scaffold with diagram,"CSTA 2-AP-2, 2-AP-11"
15,2/23/2025,Platformer Project,Power-Ups I,Abstraction lets us reuse logic.,How can power-ups use reusable code?,Students will create prefabs for power-ups that modify speed/jump.,45m prefab logic; 15m CFU; 30m lab power-up system,Prefab demo,Unity prefabs,Unity prefab docs,Exit ticket,Power-up works,Advanced: timed buffs,Scaffold: starter prefab provided,"CSTA 2-AP-10, 2-AP-12"
16,2/24/2025,Platformer Project,Power-Ups II,Feedback ensures players notice change.,How do we provide feedback for power-ups?,Students will add VFX and UI cues for active power-ups.,45m VFX lesson; 15m CFU; 30m lab polish,VFX slides,Unity particle system,Unity VFX docs,CFU: identify effect triggers,Power-up with VFX,Advanced: add sound,Scaffold with template particle,"CSTA 2-AP-12, 2-AP-13; ISTE 6"
